category,name,mrp,discount_pct_raw,available_qty,discounted_price,weight_g,out_of_stock,qty,discount_amount,discount_pct,total_revenue_raw,price_per_gms,mrp_bucket,weight_kg,discounted_price_calc,total_revenue_calc
Paan Corner,Sunsilk Stunning Black Shine Shampoo,55500,6,6,52100,650,FALSE,650,3400,1,422500,80.15,High,0.65,52100,33865000
Paan Corner,Dabur Meswak Toothpaste,10000,0,1,10000,200,FALSE,200,0,1,40000,50,High,0.2,10000,2000000
Paan Corner,Patanjali Kesh Kanti Reetha Hair Cleanser,8500,0,5,8500,200,FALSE,200,0,1,40000,42.5,High,0.2,8500,1700000
Paan Corner,Nivea Lip Balm Soft Rose for 24h Moisture with Natural Oils Delicate Rose Shine,18500,8,6,16900,5,FALSE,4,1600,1,20,3380,High,0.005,16900,67600
Paan Corner,Santoor Total Skin Care Soap With Sandal & Turmeric,18000,0,6,18000,600,FALSE,600,0,1,360000,30,High,0.6,18000,10800000
Paan Corner,"L'Oreal Paris Excellence Creme Hair Color, 4 Natural Brown/Natural Dark Brown",62000,0,1,62000,172,FALSE,172,0,1,29584,360.47,High,0.172,62000,10664000
Paan Corner,Gillette Pre Shave Foam - Classic Regular Skin,22500,0,6,22500,418,FALSE,418,0,1,174724,53.83,High,0.418,22500,9405000
Paan Corner,Fiama Di Wills Shower Gel Patchouli & Macadamia,19900,10,6,17900,250,FALSE,250,2000,1,62500,71.6,High,0.25,17900,4475000
Paan Corner,Listerine Fresh Burst Mouthwash,14000,10,4,12600,250,FALSE,250,1400,1,62500,50.4,High,0.25,12600,3150000
Paan Corner,Nivea Cocoa Nourish Body Lotion With Coconut Oil & Cocoa Butter For Very Dry Skin ,29900,17,5,24700,200,FALSE,200,5200,1,40000,123.5,High,0.2,24700,4940000
Paan Corner,Pantene Hair Fall Control Shampoo,24000,7,2,22100,340,FALSE,340,1900,1,115600,65,High,0.34,22100,7514000
Paan Corner,Fogg Master - Royal Intense,25000,0,5,25000,120,FALSE,120,0,1,14400,208.33,High,0.12,25000,3000000
Paan Corner,TRESemme Smooth And Shine Conditioner,22000,0,5,22000,190,FALSE,190,0,1,36100,115.79,High,0.19,22000,4180000
Paan Corner,Whisper Ultra Clean XL Plus Sanitary Pad,15500,0,6,15500,870,FALSE,15,0,0.9,13050,17.82,High,0.87,15500,232500
Paan Corner,"Colgate Kids Toothpaste - 6+ Years, Strawberry Flavour",9300,5,6,8800,80,FALSE,80,500,1,6400,110,High,0.08,8800,704000
Paan Corner,Nivea Soft Moisturizing Cream,31000,12,1,27200,200,FALSE,200,3800,1,40000,136,High,0.2,27200,5440000
Paan Corner,Patanjali Kesh Kanti Aloe Vera Hair Cleanser,8500,0,5,8500,200,FALSE,200,0,1,40000,42.5,High,0.2,8500,1700000
Paan Corner,Neutrogena Deep Clean Foaming Cleanser,13000,11,2,11500,50,FALSE,50,1500,1,2500,230,High,0.05,11500,575000
Paan Corner,Clean & Clear Morning Energy Berry Face Wash,15500,6,6,14500,100,FALSE,100,1000,1,10000,145,High,0.1,14500,1450000
Paan Corner,Pampers Premium Care New Baby Pants,32000,0,4,32000,24,FALSE,24,0,1,576,1333.33,High,0.024,32000,768000
Paan Corner,Vaseline Intensive Care Aloe Fresh,22500,9,6,20300,200,FALSE,200,2200,1,40000,101.5,High,0.2,20300,4060000
Paan Corner,L'Oreal Paris Dream Lengths Shampoo,14900,0,6,14900,192,FALSE,192,0,1,36864,77.6,High,0.192,14900,2860800
Paan Corner,Johnson's Baby Oil,11500,0,4,11500,100,FALSE,100,0,1,10000,115,High,0.1,11500,1150000
Paan Corner,Engage Man Rush Deodorant,19500,9,6,17600,150,FALSE,150,1900,1,22500,117.33,High,0.15,17600,2640000
Paan Corner,Pantene Advanced Hair Fall Solution Shampoo - Total Damage Care,26400,0,6,26400,340,FALSE,340,0,1,115600,77.65,High,0.34,26400,8976000
Paan Corner,Whisper Daily Liners Clean and Fresh,10500,0,4,10500,1160,FALSE,20,0,0.9,23200,9.05,High,1.16,10500,210000
Paan Corner,Himalaya Men Pimple Clear Neem Face Wash,18000,9,2,16300,100,FALSE,100,1700,1,10000,163,High,0.1,16300,1630000
Paan Corner,Pantene Adv Hairfall Solution Conditioner Silky Smooth,19000,0,5,19000,200,FALSE,200,0,1,40000,95,High,0.2,19000,3800000
Paan Corner,Himalaya Prickly Heat Baby Powder,9000,10,6,8100,100,FALSE,100,900,1,10000,81,High,0.1,8100,810000
Paan Corner,Mamaearth Daily Moisturizing Lotion For Babies,19900,0,6,19900,200,FALSE,200,0,1,40000,99.5,High,0.2,19900,3980000
Paan Corner,Stayfree Advanced XL Ultra Comfort Sanitary napkins with Wings,17500,0,3,17500,812,FALSE,14,0,1,11368,21.55,High,0.812,17500,245000
Paan Corner,Pampers Premium Care Pants - Medium,109900,18,6,89900,54,FALSE,54,20000,1,2916,1664.81,High,0.054,89900,4854600
Paan Corner,Fiama Men's Refreshing Pulse Shower Gel,19900,10,6,17900,250,FALSE,250,2000,1,62500,71.6,High,0.25,17900,4475000
Paan Corner,Vaseline Original Skin Protecting Jelly,12500,10,6,11200,100,FALSE,100,1300,1,10000,112,High,0.1,11200,1120000
Paan Corner,Clean & Clear Foaming Face Wash,18000,10,6,16200,150,FALSE,150,1800,1,22500,108,High,0.15,16200,2430000
Paan Corner,Fiama Lemongrass and Jojoba Shower Gel,22500,20,6,18000,250,FALSE,250,4500,1,62500,72,High,0.25,18000,4500000
Paan Corner,Oral-B Charcoal Cross Cross Extra Soft Toothbrush (Buy 2 Get 1 Free),18000,0,1,18000,174,FALSE,3,0,1,522,103.45,High,0.174,18000,54000
Paan Corner,Listerine Fresh Burst Mouthwash,28500,7,6,26300,500,FALSE,500,2200,1,250000,52.6,High,0.5,26300,13150000
Paan Corner,Veet Full Body Waxing Kit,23500,7,6,21800,1160,FALSE,20,1700,1,23200,18.79,High,1.16,21800,436000
Paan Corner,Listerine Original Mouthwash,5500,9,6,5000,80,FALSE,80,500,1,6400,62.5,High,0.08,5000,400000
Paan Corner,Santoor Almond Soft With Sandal & Almond Milk,18000,0,2,18000,625,FALSE,625,0,1,390625,28.8,High,0.625,18000,11250000
Paan Corner,Nivea Body Shea Smooth with Shea Butter for Dry Skin,42500,20,5,34000,400,FALSE,9,8500,1,3600,85,High,0.4,34000,306000
Paan Corner,Neutrogena Deep Clean Facial Cleanser,13000,0,4,13000,50,FALSE,50,0,1,2500,260,High,0.05,13000,650000
Paan Corner,"L'Oreal Paris Excellence Creme Hair Color, 3.16 Burgundy",55000,0,3,55000,159,FALSE,172,0,1,27348,345.91,High,0.159,55000,9460000
Paan Corner,Johnson's Baby Powder,23500,0,6,23500,400,FALSE,400,0,1,160000,58.75,High,0.4,23500,9400000
Paan Corner,Bombay Shaving Company Charcoal Face Wash,24900,0,4,24900,100,FALSE,100,0,1,10000,249,High,0.1,24900,2490000
Paan Corner,Colgate Kids 2+ Years Extra Soft Toothbrush,2000,0,3,2000,58,FALSE,1,0,1,58,34.48,Medium,0.058,2000,2000
Paan Corner,Veet Hair Removal Cream (Normal Skin),13500,5,6,12800,50,FALSE,50,700,1,2500,256,High,0.05,12800,640000
Paan Corner,Dove Daily Shine Shampoo,24000,0,4,24000,340,FALSE,340,0,1,115600,70.59,High,0.34,24000,8160000
Paan Corner,L'Oreal Anti Hair Fall Conditioner,19900,0,6,19900,192,FALSE,192,0,1,36864,103.65,High,0.192,19900,3820800
Paan Corner,Nivea Body Lotion Aloe Hydration For Normal Skin ,27500,10,6,24700,200,FALSE,200,2800,1,40000,123.5,High,0.2,24700,4940000
Paan Corner,Pampers Pants - Large,154900,45,3,84900,82,FALSE,82,70000,1,6724,1035.37,High,0.082,84900,6961800
Paan Corner,"Engage Urge Deodorant For Men, Citrus And Woody, Skin Friendly",19500,10,6,17400,150,FALSE,150,2100,1,22500,116,High,0.15,17400,2610000
Paan Corner,Head & Shoulders 2 In 1 Anti Dandruff Smooth & Silky Shampoo+Conditioner,37500,10,6,33400,340,FALSE,340,4100,1,115600,98.24,High,0.34,33400,11356000
Paan Corner,Fem Fairness Natural Gold Skin Bleach,8500,7,4,7900,64,FALSE,64,600,1,4096,123.44,High,0.064,7900,505600
Paan Corner,Engage Deo Frost,19500,9,6,17600,150,FALSE,150,1900,1,22500,117.33,High,0.15,17600,2640000
Paan Corner,Stayfree Secure XL Size Sanitary Napkins,11500,0,5,11500,1160,FALSE,20,0,0.9,23200,9.91,High,1.16,11500,230000
Paan Corner,Pampers Pants - Medium,69900,21,1,54900,50,FALSE,50,15000,1,2500,1098,High,0.05,54900,2745000
Paan Corner,Pampers Active Baby Diapers New Born Extra Small ,109900,22,3,84900,72,FALSE,72,25000,1,5184,1179.17,High,0.072,84900,6112800
Paan Corner,"Nivea Creme, All Season Multi-Purpose Cream",17500,9,6,15800,100,FALSE,100,1700,1,10000,158,High,0.1,15800,1580000
Paan Corner,Woodwards Gripe Water ,5000,0,4,5000,130,FALSE,130,0,1,16900,38.46,High,0.13,5000,650000
Paan Corner,Clean & Clear Morning Energy Aqua Splash Face Wash,14500,9,5,13100,100,FALSE,100,1400,1,10000,131,High,0.1,13100,1310000
Paan Corner,Sunsilk Lusciously Thick & Long Shampoo,55500,6,6,52100,650,FALSE,650,3400,1,422500,80.15,High,0.65,52100,33865000
Paan Corner,Mamaearth Skin Correct Face Serum,59900,15,1,50900,30,FALSE,30,9000,1,900,1696.67,High,0.03,50900,1527000
Paan Corner,Chik Hairfall Prevent Egg Shampoo,17800,0,6,17800,340,FALSE,340,0,1,115600,52.35,High,0.34,17800,6052000
Paan Corner,Pantene Silky Smooth Care Shampoo,22500,6,3,21000,340,FALSE,340,1500,1,115600,61.76,High,0.34,21000,7140000
Paan Corner,"Garnier Skin Naturals, Micellar Cleansing Water",19900,5,4,18900,125,FALSE,125,1000,1,15625,151.2,High,0.125,18900,2362500
Paan Corner,Set Wet Swag Avatar Deodorant & Body Spray Perfume For Men,19900,0,1,19900,150,FALSE,150,0,1,22500,132.67,High,0.15,19900,2985000
Paan Corner,Pampers All Round Protection Pants - Medium,69900,17,6,57500,50,FALSE,50,12400,1,2500,1150,High,0.05,57500,2875000
Paan Corner,Set Wet Deodrant Charm Avatar,19900,0,1,19900,150,FALSE,150,0,1,22500,132.67,High,0.15,19900,2985000
Paan Corner,Nupur Heena Mehandi,19900,0,6,19900,500,FALSE,500,0,1,250000,39.8,High,0.5,19900,9950000
Paan Corner,Head & Shoulders 2-in-1 Active Protect Shampoo,37500,9,6,33800,340,FALSE,340,3700,1,115600,99.41,High,0.34,33800,11492000
Paan Corner,Gillette Mach 3 Turbo Cartridges,64900,10,6,57800,232,FALSE,4,7100,1,928,249.14,High,0.232,57800,231200
Paan Corner,TRESemme Smooth And Shine Conditioner,21000,13,1,18200,190,FALSE,190,2800,1,36100,95.79,High,0.19,18200,3458000
Paan Corner,Bombay Shaving Company Sensitive Cartridges,37500,0,2,37500,116,FALSE,2,0,1,232,323.28,High,0.116,37500,75000
Paan Corner,Himalaya Baby Lotion,30000,12,1,26400,400,FALSE,400,3600,1,160000,66,High,0.4,26400,10560000
Paan Corner,Old Spice Lime Lather Shaving Cream,7500,0,6,7500,70,FALSE,70,0,1,4900,107.14,High,0.07,7500,525000
